Province/State,Country/Region,Lat,Long,Time,Daily Confirmed,Daily Death,Daily Recovered,Cum Confirmed,Cum Death,Cum Recovered,PCum Confirmed,PCum Death,PCum Recovered,dPCum Confirmed,dPCum Death,dPCum Recovered,Mortality,perchange Confirmed,perchange Death,perchange Recovered,Lat Long
,Monaco,43.7333,7.4167,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"43.7333,7.4167"
,Qatar,25.3548,51.1839,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"25.3548,51.1839"
,Ecuador,-1.8312,-78.1834,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-1.8312,-78.1834"
,Azerbaijan,40.1431,47.5769,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"40.1431,47.5769"
,Armenia,40.0691,45.0382,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"40.0691,45.0382"
,Dominican Republic,18.7357,-70.1627,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"18.7357,-70.1627"
,Indonesia,-0.7893,113.9213,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-0.7893,113.9213"
,Portugal,39.3999,-8.2245,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"39.3999,-8.2245"
,Andorra,42.5063,1.5218,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"42.5063,1.5218"
Tasmania,Australia,-41.4545,145.9707,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-41.4545,145.9707"
,Latvia,56.8796,24.6032,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"56.8796,24.6032"
,Morocco,31.7917,-7.0926,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"31.7917,-7.0926"
,Saudi Arabia,24.0,45.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"24.0,45.0"
,Senegal,14.4974,-14.4524,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"14.4974,-14.4524"
,Argentina,-38.4161,-63.6167,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-38.4161,-63.6167"
,Chile,-35.6751,-71.543,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-35.6751,-71.543"
,Jordan,31.24,36.51,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"31.24,36.51"
,Ukraine,48.3794,31.1656,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"48.3794,31.1656"
,Hungary,47.1625,19.5033,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"47.1625,19.5033"
Northern Territory,Australia,-12.4634,130.8456,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-12.4634,130.8456"
,Liechtenstein,47.14,9.55,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"47.14,9.55"
,Poland,51.9194,19.1451,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"51.9194,19.1451"
,Tunisia,34.0,9.0,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"34.0,9.0"
,Bosnia and Herzegovina,43.9159,17.6791,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"43.9159,17.6791"
,Slovenia,46.1512,14.9955,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"46.1512,14.9955"
